Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1626769873,6,GET,/displayPoints,0.300000,0.000000,5,5,5,5,11,11,11,11,11,11,11,6,0,5,6.097906500144745,4.607123999448959,10.95516599889379,2035.1666666666667
1626769873,6,GET,/logout,0.500000,0.000000,13,13,13,13,14,14,14,14,14,14,14,8,0,13,12.7960182503557,11.967164000452613,14.36322100016696,1220.0
1626769873,6,POST,/purchasePlaces,0.300000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769873,6,POST,/showSummary,0.500000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769873,6,,Aggregated,2.200000,0.000000,7,11,12,13,13,18,20,20,20,20,20,34,0,7,8.732932499964697,4.607123999448959,20.315867999670445,1791.8235294117646
1626769874,6,GET,/,0.300000,0.000000,6,6,6,12,12,12,12,12,12,12,12,5,0,6,6.948391399419052,5.111711998324608,12.470267998651252,1040.0
1626769874,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.300000,0.000000,6,6,6,6,18,18,18,18,18,18,18,6,0,5.379903999710223,7.731985999877604,5.379903999710223,18.496765000236337,1554.0
1626769874,6,GET,/displayPoints,0.300000,0.000000,5,5,5,5,11,11,11,11,11,11,11,7,0,5,5.983765999969494,4.607123999448959,10.95516599889379,2035.142857142857
1626769874,6,GET,/logout,0.500000,0.000000,13,13,13,13,14,14,14,14,14,14,14,8,0,13,12.7960182503557,11.967164000452613,14.36322100016696,1220.0
1626769874,6,POST,/purchasePlaces,0.200000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769874,6,POST,/showSummary,0.500000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769874,6,,Aggregated,2.100000,0.000000,7,7,12,12,13,18,20,20,20,20,20,37,0,7,8.485535351290899,4.607123999448959,20.315867999670445,1771.6486486486488
1626769875,6,GET,/,0.200000,0.000000,6,6,6,12,12,12,12,12,12,12,12,5,0,6,6.948391399419052,5.111711998324608,12.470267998651252,1040.0
1626769875,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,6,6,6,6,18,18,18,18,18,18,18,6,0,5.379903999710223,7.731985999877604,5.379903999710223,18.496765000236337,1554.0
1626769875,6,GET,/displayPoints,0.300000,0.000000,5,5,5,5,11,11,11,11,11,11,11,7,0,5,5.983765999969494,4.607123999448959,10.95516599889379,2035.142857142857
1626769875,6,GET,/logout,0.500000,0.000000,13,13,13,13,14,14,14,14,14,14,14,9,0,13,12.732521444882472,11.967164000452613,14.36322100016696,1220.0
1626769875,6,POST,/purchasePlaces,0.100000,0.000000,7,7,7,7,20,20,20,20,20,20,20,7,0,7,8.630605285621382,5.8531419999781065,20.315867999670445,2297.4285714285716
1626769875,6,POST,/showSummary,0.500000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769875,6,,Aggregated,2.000000,0.000000,7,7,12,12,13,18,20,20,20,20,20,39,0,7,8.545928999993544,4.607123999448959,20.315867999670445,1757.4871794871794
1626769876,6,GET,/,0.200000,0.000000,6,6,6,6,12,12,12,12,12,12,12,6,0,6,6.748846332811809,5.111711998324608,12.470267998651252,1040.0
1626769876,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.500000,0.000000,5,6,6,6,18,18,18,18,18,18,18,7,0,5.160181999599445,7.364585428409295,5.160181999599445,18.496765000236337,1554.0
1626769876,6,GET,/displayPoints,0.500000,0.000000,5,5,5,5,11,11,11,11,11,11,11,7,0,5,5.983765999969494,4.607123999448959,10.95516599889379,2035.142857142857
1626769876,6,GET,/logout,0.500000,0.000000,13,13,13,13,14,14,14,14,14,14,14,9,0,13,12.732521444882472,11.967164000452613,14.36322100016696,1220.0
1626769876,6,POST,/purchasePlaces,0.000000,0.000000,7,7,7,7,20,20,20,20,20,20,20,7,0,7,8.630605285621382,5.8531419999781065,20.315867999670445,2297.4285714285716
1626769876,6,POST,/showSummary,0.500000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769876,6,,Aggregated,2.200000,0.000000,7,7,12,12,13,14,20,20,20,20,20,41,0,7,8.395183756076177,4.607123999448959,20.315867999670445,1735.0243902439024
1626769877,6,GET,/,0.300000,0.000000,6,6,6,6,12,12,12,12,12,12,12,6,0,6,6.748846332811809,5.111711998324608,12.470267998651252,1040.0
1626769877,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,6,6,6,6,18,18,18,18,18,18,18,8,0,5.160181999599445,7.167796499743417,5.160181999599445,18.496765000236337,1554.0
1626769877,6,GET,/displayPoints,0.400000,0.000000,5,5,5,5,11,11,11,11,11,11,11,8,0,5,5.88672412482083,4.607123999448959,10.95516599889379,2035.125
